STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2021-06-18,21.31336898395722,13.56470588235294,29.062032085561498,0.0275327771156138,61.99785418702128,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-19,24.23967391304348,17.528260869565216,30.95108695652174,0.0545126353790613,67.1700559446639,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
NC,2021-06-20,24.75846994535519,19.883152173913043,29.640437158469943,5.44,81.44577382009497,14.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0
NC,2021-06-21,24.817486338797817,20.044262295081968,29.590710382513663,15.584924078091106,80.53556933128101,22.0,0.0,13.0,0.0,0.0,0.0,3.0,2.0
NC,2021-06-22,23.987016574585635,18.84065934065934,29.133701657458563,5.202137232845894,81.48744552187961,21.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0
NC,2021-06-23,20.0724043715847,14.63551912568306,25.50928961748634,12.057371794871797,70.33493946322918,8.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0
NC,2021-06-24,19.74755434782609,13.905434782608696,25.58967391304348,0.0298245614035087,68.35408528551685,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-25,20.663858695652173,15.1875,26.157526881720432,0.918096357226792,78.4011018221185,9.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2021-06-26,22.43521505376344,16.93548387096774,27.942780748663104,6.0008,83.62198126917328,14.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0
NC,2021-06-27,24.25945945945946,18.987567567567567,29.53135135135135,2.612276519666269,79.58469616489327,18.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
NC,2021-06-28,24.77994652406417,19.412834224598928,30.147058823529413,1.1111510791366903,78.12847731865193,14.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-29,25.26584699453552,20.26666666666667,30.27880434782609,1.3910734463276837,79.87278967824697,18.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0
NC,2021-06-30,25.206989247311828,20.057219251336896,30.36951871657754,2.0799076212471133,77.24526455871512,12.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0
