STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2019-05-10,20.98989361702128,1.0654666666666668,77.39402996346422,15.879255319148935,26.10053191489361,10.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
NC,2019-05-11,21.602941176470587,3.9633608815427,83.21539850763247,17.271122994652405,25.934759358288773,15.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0
NC,2019-05-12,21.073936170212768,17.796085858585858,86.74912570206884,17.879255319148935,24.304761904761907,15.0,1.0,19.0,0.0,0.0,0.0,3.0,1.0
NC,2019-05-13,19.54100529100529,6.597689345314507,76.0837523711596,14.872486772486774,24.207894736842107,6.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
NC,2019-05-14,15.339893617021277,3.154022988505747,60.95845798101119,8.703723404255319,21.96806282722513,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0
NC,2019-05-15,13.75877659574468,0.0337713534822601,58.86732225856228,6.62127659574468,20.89947643979057,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2019-05-16,16.235483870967744,0.0047745358090185,63.15667484324104,8.720430107526882,23.72328042328042,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2019-05-17,20.31290322580645,0.2056527590847914,70.8855430276114,12.774193548387096,27.830319148936173,6.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0
NC,2019-05-18,23.374728260869563,0.5921832884097035,66.94364340446104,16.055434782608696,30.704301075268816,8.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
NC,2019-05-19,24.293882978723403,0.3866941015089163,69.27625281797032,17.52021276595745,31.06755319148936,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2019-05-20,24.02565445026178,0.107258064516129,70.22462854032477,17.814659685863873,30.236649214659685,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
NC,2019-05-21,22.848677248677248,0.8556291390728477,66.05266789938882,15.733333333333333,29.96402116402116,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2019-05-22,21.83921052631579,0.0242876526458616,66.98636063053296,15.422105263157894,28.25631578947368,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2019-05-23,22.033597883597885,1.0006666666666666,74.14930200512747,16.24973544973545,27.81746031746032,12.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
NC,2019-05-24,24.73941798941799,0.4051771117166212,67.30278401710893,18.17089947089947,31.307936507936507,8.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0
NC,2019-05-25,25.39652406417112,0.0864902506963788,65.95158348659987,18.26149732620321,32.54468085106383,3.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0
NC,2019-05-26,26.030748663101605,0.7985034013605442,66.92930816562246,19.41176470588235,32.649732620320854,8.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
NC,2019-05-27,25.8436170212766,0.0279944289693593,63.46530599937356,18.95925925925926,32.73936170212766,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
NC,2019-05-28,25.61524064171123,0.2952054794520548,63.82640738249793,18.370212765957447,32.871808510638296,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2019-05-29,26.534656084656085,0.0068918918918918,57.26378548118722,19.18,33.8994708994709,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
NC,2019-05-30,26.372222222222224,0.1928667563930013,59.80984814966351,18.89206349206349,33.87578947368421,1.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0
NC,2019-05-31,25.353763440860217,2.163294422827497,67.55859715970698,18.30537634408602,32.420744680851065,9.0,0.0,16.0,0.0,1.0,0.0,2.0,1.0
NC,2019-06-01,22.18505434782609,10.541379310344828,72.6206099763498,15.126086956521736,29.242162162162163,9.0,1.0,17.0,0.0,5.0,0.0,1.0,2.0
NC,2019-06-02,21.9655737704918,1.771296296296296,67.96855263095983,15.080874316939893,28.91344086021505,9.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
NC,2019-06-03,22.33225806451613,1.1306176084099868,64.09290953065168,15.84438502673797,28.857754010695185,11.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0
NC,2019-06-04,20.73198924731183,0.0603947368421052,58.57657030026019,13.984408602150538,27.52127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-06-05,22.22032085561497,0.5366233766233766,77.56629452302069,16.731016042780748,27.748404255319148,8.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0
NC,2019-06-06,23.897554347826084,6.095848161328589,79.63769277025025,19.50054054054054,28.289304812834228,11.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0
NC,2019-06-07,23.859574468085107,6.899624060150376,87.56615440533912,20.12659574468085,27.59255319148936,22.0,1.0,12.0,0.0,0.0,0.0,2.0,0.0
NC,2019-06-08,22.99197860962567,30.694880952380952,90.32437295060386,20.06096256684492,25.92299465240642,21.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0
NC,2019-06-09,22.975135135135133,31.100844390832325,91.45926905022844,20.02918918918919,25.92108108108108,19.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0
NC,2019-06-10,23.415159574468085,19.16722891566265,87.83681624128073,20.190425531914894,26.64867724867725,23.0,1.0,11.0,0.0,0.0,0.0,4.0,0.0
NC,2019-06-11,22.17284946236559,9.815602836879432,73.50692960345,17.333870967741934,27.049468085106383,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
NC,2019-06-12,19.79945355191257,1.3202319587628866,74.6388800685396,14.87103825136612,24.763783783783783,10.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
NC,2019-06-13,19.92945945945946,9.37725631768953,80.66234104733981,15.446486486486489,24.427807486631018,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2019-06-14,18.7545945945946,0.3466579292267365,51.61057766854492,11.89027027027027,25.58244680851064,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NC,2019-06-15,18.76868131868132,0.0243572395128552,63.74318563215517,10.92087912087912,26.605405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-06-16,21.772972972972973,0.0184531886024423,67.50360238649948,14.61189189189189,28.930319148936167,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2019-06-17,25.10767195767196,0.3883443708609271,72.0123874394569,19.01058201058201,31.198421052631577,6.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0
NC,2019-06-18,25.76878306878307,11.221929824561403,78.3075818348582,20.54179894179894,30.9957671957672,12.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0
NC,2019-06-19,25.13636363636364,10.613447432762836,82.87635437855029,20.69786096256685,29.564550264550263,15.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0
NC,2019-06-20,25.20945945945946,3.7186163522012574,77.48607430231947,20.384324324324325,30.055080213903743,11.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0
NC,2019-06-21,24.29755434782609,5.755168119551681,64.4567167866029,18.717391304347824,29.887567567567565,3.0,0.0,14.0,0.0,0.0,0.0,3.0,5.0
NC,2019-06-22,23.41222826086957,2.9279949558638085,71.62319466919539,17.703804347826086,29.13729729729729,7.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
NC,2019-06-23,23.186559139784944,5.6374201787994895,73.98256975824872,18.246236559139785,28.07872340425532,11.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0
NC,2019-06-24,23.923243243243245,1.4139442231075698,75.2669907689676,18.18108108108108,29.68494623655914,18.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0
NC,2019-06-25,25.250531914893617,3.96439393939394,69.60581909985112,19.104255319148937,31.395238095238096,12.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
NC,2019-06-26,24.46317204301075,0.0177570093457943,66.39001451526742,18.39354838709677,30.533155080213906,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-06-27,24.80407608695652,0.0413978494623655,67.31623418497692,18.360326086956523,31.247826086956525,7.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
NC,2019-06-28,25.498641304347824,0.2180371352785146,67.25358836327091,18.9,32.134054054054054,7.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0
NC,2019-06-29,25.67092391304348,0.9429530201342282,68.25602187954581,19.07608695652174,32.27150537634409,7.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
NC,2019-06-30,26.41983695652174,0.4297814207650273,64.94731708639578,19.8125,33.03924731182796,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
NC,2019-07-01,26.398404255319143,0.8205729166666668,65.05001198762507,20.083068783068786,32.716402116402115,7.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
NC,2019-07-02,25.74867724867725,0.1409986859395532,67.2610684437592,18.82751322751323,32.66984126984127,6.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0
NC,2019-07-03,26.982702702702703,1.0961089494163423,69.38815860734874,20.404324324324325,33.575,9.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0
NC,2019-07-04,27.009239130434786,6.991194968553459,77.63531786072114,20.753804347826087,33.316489361702125,17.0,5.0,21.0,0.0,0.0,0.0,8.0,0.0
NC,2019-07-05,26.270108695652173,9.133700980392158,84.97666587302349,20.6625,31.92459893048128,25.0,2.0,33.0,0.0,0.0,0.0,3.0,0.0
NC,2019-07-06,26.16929347826087,5.676675257731959,82.75946287786722,21.241304347826087,31.115591397849464,20.0,1.0,21.0,0.0,0.0,0.0,5.0,0.0
NC,2019-07-07,26.73189189189189,4.907152145643693,79.99240264881969,21.88216216216216,31.59465240641711,18.0,1.0,20.0,0.0,0.0,0.0,2.0,0.0
NC,2019-07-08,27.016666666666666,6.181647940074907,82.06713451474847,21.75767195767196,32.257591623036646,15.0,1.0,30.0,0.0,0.0,0.0,3.0,0.0
NC,2019-07-09,25.94840425531915,7.924100719424461,82.99598537395333,21.3,30.57619047619048,13.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0
NC,2019-07-10,25.48062827225131,2.1320099255583127,78.03207125449883,20.85235602094241,30.10890052356021,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
NC,2019-07-11,26.59946808510638,4.283863080684596,81.20015981893486,21.62872340425532,31.56190476190476,18.0,0.0,25.0,0.0,0.0,0.0,3.0,0.0
NC,2019-07-12,26.31189189189189,16.803271028037383,83.28089982078988,21.370967741935484,31.264705882352946,26.0,0.0,34.0,0.0,0.0,0.0,5.0,0.0
NC,2019-07-13,26.623655913978496,3.5994949494949497,79.5280305806213,21.50752688172043,31.718716577540103,20.0,0.0,22.0,0.0,0.0,0.0,3.0,0.0
NC,2019-07-14,26.840760869565216,4.829573934837093,72.79192666300976,21.22065217391304,32.49572192513369,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
NC,2019-07-15,27.008510638297874,0.536222509702458,70.83254225282464,21.11382978723404,32.923280423280424,12.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0
NC,2019-07-16,27.3218085106383,1.922681704260652,73.02756086364357,21.359574468085107,33.32526315789474,17.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0
NC,2019-07-17,27.729255319148937,1.8965217391304348,73.4731138197387,21.92978723404256,33.53842105263158,7.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0
NC,2019-07-18,27.58235294117647,3.095878787878788,72.98981132236108,22.233155080213905,32.90425531914894,11.0,1.0,16.0,0.0,0.0,0.0,3.0,1.0
NC,2019-07-19,27.546791443850267,2.579331683168317,74.9688088405256,21.970053475935828,33.130319148936174,12.0,0.0,19.0,0.0,0.0,0.0,2.0,1.0
NC,2019-07-20,27.85842391304348,1.892692307692308,75.27175450782448,22.30326086956521,33.42540540540541,9.0,0.0,14.0,0.0,1.0,0.0,1.0,0.0
NC,2019-07-21,27.884153005464483,2.073560209424084,71.56749028618208,22.307650273224045,33.475,10.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0
NC,2019-07-22,27.693548387096776,1.607483870967742,70.46741384326815,22.384408602150536,33.01640211640212,13.0,1.0,11.0,0.0,0.0,0.0,3.0,0.0
NC,2019-07-23,25.33021390374332,14.904512195121953,82.76478854484559,20.19627659574468,30.446031746031743,27.0,1.0,31.0,0.0,0.0,0.0,4.0,0.0
NC,2019-07-24,21.64005376344086,25.43667425968109,76.74323234421739,16.10698924731183,27.21818181818182,18.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0
NC,2019-07-25,21.769086021505377,0.1738461538461538,68.56191374317511,15.546524064171122,28.048404255319152,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-07-26,22.546739130434784,0.0041612483745123,70.43010713879474,16.233695652173914,28.90215053763441,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2019-07-27,22.89038461538461,0.0499348109517601,68.61942442461404,16.2489010989011,29.58655913978495,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-07-28,23.50054054054054,0.1822454308093994,67.5924222490349,16.545405405405408,30.50159574468085,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-07-29,24.168548387096777,0.1006476683937823,66.2610581213811,17.023118279569893,31.33048128342246,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC,2019-07-30,24.548128342245988,0.1594033722438391,65.70727345530494,17.51657754010695,31.574468085106385,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
NC,2019-07-31,25.16532258064516,1.5177749360613813,73.37004008117752,18.796236559139786,31.529411764705884,7.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0
NC,2019-08-01,25.22845744680851,3.914233128834356,77.6515411904548,18.96031746031746,31.501052631578947,24.0,1.0,26.0,0.0,0.0,0.0,3.0,0.0
NC,2019-08-02,24.86951871657754,8.41766826923077,83.2551012504708,19.53422459893048,30.22446808510638,15.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0
NC,2019-08-03,24.35133689839572,9.23578313253012,83.9207937152709,19.576470588235296,29.126203208556152,26.0,3.0,14.0,0.0,0.0,0.0,1.0,0.0
NC,2019-08-04,24.782620320855617,2.4010204081632653,81.32835224771286,19.4,30.16524064171123,20.0,1.0,10.0,0.0,0.0,0.0,3.0,0.0
NC,2019-08-05,24.815079365079367,8.45702380952381,86.25395380945784,19.650264550264552,29.96842105263158,21.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0
NC,2019-08-06,24.473036649214663,10.204205607476634,80.59540914227044,19.00942408376964,29.922395833333336,34.0,4.0,13.0,0.0,0.0,0.0,1.0,0.0
NC,2019-08-07,25.31465968586388,1.916562889165629,78.13298942754192,19.661256544502617,30.96806282722513,15.0,1.0,17.0,0.0,0.0,0.0,1.0,0.0
NC,2019-08-08,25.44368421052632,7.198805256869773,73.27776674803393,19.385789473684213,31.51413612565445,17.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
NC,2019-08-09,25.773641304347827,0.8573298429319371,67.85082324000088,19.13967391304348,32.373513513513515,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2019-08-10,25.987297297297296,0.5352862849533955,73.8484549860593,19.82972972972973,32.0951871657754,7.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0
NC,2019-08-11,25.494354838709675,3.722027534418024,74.70892735050221,20.01236559139785,30.95347593582888,8.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
NC,2019-08-12,25.39869109947644,0.4217783505154639,73.22612648759605,19.685340314136127,31.10625,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2019-08-13,26.463492063492065,0.9687420584498094,76.0534950867543,20.55026455026455,32.37539267015707,11.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0
NC,2019-08-14,27.208465608465605,9.599415204678362,79.04391548569205,21.61481481481481,32.807329842931935,14.0,0.0,23.0,0.0,0.0,0.0,2.0,2.0
NC,2019-08-15,26.37973684210526,3.911435523114355,83.09002086510772,21.021052631578947,31.7234375,20.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0
