STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT15,WT18
CO,2019-06-17,13.808659217877096,3.0808562197092084,65.68343220513104,6.913019390581717,20.6536312849162,17.0,4.0,51.0,1.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-18,12.454016620498614,6.751561309977151,77.39094189116432,6.582271468144044,18.325761772853188,20.0,4.0,52.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
CO,2019-06-19,13.230222841225626,4.123946957878315,63.47461409144751,5.958126721763086,20.432222222222222,11.0,4.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CO,2019-06-20,15.484861111111112,0.3464888888888889,47.653911037668536,7.616438356164384,23.265927977839336,4.0,0.0,24.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CO,2019-06-21,12.779722222222222,2.7311167945439045,54.75493929334287,5.78021978021978,19.705277777777777,11.0,0.0,26.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-22,9.64404432132964,10.399920634920637,70.21370501496489,3.308219178082192,15.890055248618784,25.0,2.0,37.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-23,8.18941504178273,5.434988179669031,68.96661081063203,1.6339779005524862,14.683102493074792,9.0,1.0,28.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
CO,2019-06-24,11.079224376731302,1.0213483146067417,49.935478861342354,3.0769863013698626,19.01906077348066,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-25,14.483516483516484,0.1107985480943738,41.63638247896224,5.443169398907104,23.493956043956043,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-26,16.414600550964188,0.1074774774774774,39.74511298984898,7.462465753424658,25.34297520661157,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-27,17.644198895027625,0.0613369467028003,36.91652840474893,8.568956043956044,26.662087912087912,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-28,18.75771349862259,0.1561767357980162,37.18554447879249,9.196164383561644,28.32554945054945,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
CO,2019-06-29,19.884072022160662,0.4254237288135593,40.3340130658172,11.15521978021978,28.5741046831956,1.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2019-06-30,19.444305555555555,0.5837043633125557,44.534297427514005,10.830027548209369,27.97245179063361,3.0,0.0,32.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-07-01,18.169505494505493,2.356148867313916,59.76274900401538,9.893698630136983,26.387027027027028,9.0,0.0,45.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
